,superficie,time_ctrl,PRECIPITACION,time_ext,SOL,personal,RACHA,lng,lat,Año,TMAX,medios,PRES_RANGE
206,3.0,3.3,0,3.3,10.6,27,15.3,-8.287932,43.501867,2001,22.8,5,3.39999999999998
207,2.0,2.2,0,2.2,10.6,27,15.3,-8.579855,43.004175,2001,22.8,3,3.39999999999998
208,1.3,2.55,0,2.55,10.6,6,15.3,-9.026022,42.53267,2001,22.8,1,3.39999999999998
209,3.0,2.25,0,2.25,10.8,4,12.2,-8.999427,42.607448,2001,22.4,2,2.89999999999998
210,3.0,3.55,0,3.55,10.8,10,12.2,-8.802512,42.780977,2001,22.4,1,2.89999999999998
211,3.45,1.3,0,1.3,10.8,26,12.2,-8.97354,43.27734,2001,22.4,4,2.89999999999998
212,2.5,3.55,0,3.55,10.8,17,12.2,-8.201348,43.590545,2001,22.4,3,2.89999999999998
213,1.2,1.35,0,1.35,10.8,6,12.2,-8.947608,43.034389,2001,22.4,1,2.89999999999998
214,1.4,2.0,0,2.0,10.8,18,12.2,-8.341676,43.223627,2001,22.4,4,2.89999999999998
215,2.0,2.35,0,2.35,10.8,16,12.2,-8.802512,42.780977,2001,22.4,2,2.89999999999998
216,5.0,2.15,0,2.15,10.8,16,12.2,-8.623962,42.845404,2001,22.4,2,2.89999999999998
217,1.0,1.0,0,1.0,10.9,26,9.7,-8.608497,42.788592,2001,24.0,3,2.60000000000002
218,1.0,1.5,0,1.5,10.9,22,9.7,-8.682929,42.997438,2001,24.0,2,2.60000000000002
219,1.0,1.25,0,1.25,10.9,32,9.7,-8.107657,43.34019,2001,24.0,4,2.60000000000002
220,1.2,1.0,0,1.0,10.9,21,9.7,-8.958553,42.822663,2001,24.0,2,2.60000000000002
221,1.5,2.1,0,2.1,10.9,28,9.7,-8.804536,42.860227,2001,24.0,2,2.60000000000002
222,1.0,3.3,0,3.3,10.9,26,9.7,-8.284681,43.546643,2001,24.0,4,2.60000000000002
223,1.0,1.2,0,1.2,10.9,11,9.7,-8.211553,42.928181,2001,24.0,1,2.60000000000002
224,1.0,1.55,0,1.55,10.9,11,6.4,-8.138671,43.558863,2001,20.2,1,2.79999999999995
225,1.0,1.1,0,1.1,10.9,4,6.4,-8.74912,42.796929,2001,20.2,1,2.79999999999995
226,1.0,1.3,0,1.3,10.9,16,6.4,-8.309654,43.521279,2001,20.2,3,2.79999999999995
227,1.5,2.25,0,2.25,10.9,14,6.4,-8.648519,43.304051,2001,20.2,2,2.79999999999995
228,1.0,1.0,0,1.0,10.9,22,6.4,-8.567981,42.854833,2001,20.2,2,2.79999999999995
229,1.1,2.4,0,2.4,10.9,11,6.4,-9.157875,43.058246,2001,20.2,2,2.79999999999995
230,1.4,3.0,0,3.0,10.9,16,6.4,-9.033492,43.087121,2001,20.2,3,2.79999999999995
231,1.0,2.55,0,2.55,10.9,16,6.4,-8.88716,42.720584,2001,20.2,0,2.79999999999995
232,1.2,1.1,1,1.1,6.6,16,5.6,-8.589146,42.802734,2001,20.2,4,2.40000000000009
233,1.0,1.25,1,1.25,6.6,26,5.6,-8.950453,42.732381,2001,20.2,2,2.40000000000009
234,5.4,3.45,0,3.45,3.8,22,10.8,-8.787082,42.709977,2001,18.3,5,1.10000000000002
235,1.6,2.15,0,2.15,3.8,24,10.8,-8.682622,42.851886,2001,18.3,3,1.10000000000002
